timestamp,temp_c,setpoint_c
2026-08-24T00:00:00+00:00,520.0,650
2026-08-24T00:01:00+00:00,528.2,650
2026-08-24T00:02:00+00:00,535.98,650
2026-08-24T00:03:00+00:00,543.11,650
2026-08-24T00:04:00+00:00,549.67,650
2026-08-24T00:05:00+00:00,556.01,650
2026-08-24T00:06:00+00:00,562.58,650
2026-08-24T00:07:00+00:00,569.72,650
2026-08-24T00:08:00+00:00,577.52,650
2026-08-24T00:09:00+00:00,585.72,650
2026-08-24T00:10:00+00:00,593.92,650
2026-08-24T00:11:00+00:00,601.68,650
2026-08-24T00:12:00+00:00,608.8,650
2026-08-24T00:13:00+00:00,615.35,650
2026-08-24T00:14:00+00:00,621.69,650
2026-08-24T00:15:00+00:00,628.27,650
2026-08-24T00:16:00+00:00,635.43,650
2026-08-24T00:17:00+00:00,643.23,650
2026-08-24T00:18:00+00:00,651.45,650
2026-08-24T00:19:00+00:00,659.64,650
2026-08-24T00:20:00+00:00,667.39,650
2026-08-24T00:21:00+00:00,674.48,650
2026-08-24T00:22:00+00:00,681.02,650
2026-08-24T00:23:00+00:00,687.37,650
2026-08-24T00:24:00+00:00,693.96,650
2026-08-24T00:25:00+00:00,701.13,650
2026-08-24T00:26:00+00:00,708.95,650
2026-08-24T00:27:00+00:00,717.17,650
2026-08-24T00:28:00+00:00,725.35,650
2026-08-24T00:29:00+00:00,733.09,650
2026-08-24T00:30:00+00:00,753.27,750
2026-08-24T00:31:00+00:00,751.3,750
2026-08-24T00:32:00+00:00,748.23,750
2026-08-24T00:33:00+00:00,746.67,750
2026-08-24T00:34:00+00:00,748.07,750
2026-08-24T00:35:00+00:00,751.65,750
2026-08-24T00:36:00+00:00,754.92,750
2026-08-24T00:37:00+00:00,755.6,750
2026-08-24T00:38:00+00:00,753.34,750
2026-08-24T00:39:00+00:00,749.93,750
2026-08-24T00:40:00+00:00,748.01,750
2026-08-24T00:41:00+00:00,749.01,750
2026-08-24T00:42:00+00:00,752.11,750
2026-08-24T00:43:00+00:00,754.84,750
2026-08-24T00:44:00+00:00,754.95,750
2026-08-24T00:45:00+00:00,752.16,750
2026-08-24T00:46:00+00:00,748.32,750
2026-08-24T00:47:00+00:00,746.07,750
2026-08-24T00:48:00+00:00,746.83,750
2026-08-24T00:49:00+00:00,749.74,750
2026-08-24T00:50:00+00:00,752.32,750
2026-08-24T00:51:00+00:00,752.36,750
2026-08-24T00:52:00+00:00,749.62,750
2026-08-24T00:53:00+00:00,745.98,750
2026-08-24T00:54:00+00:00,744.06,750
2026-08-24T00:55:00+00:00,745.23,750
2026-08-24T00:56:00+00:00,748.58,750
2026-08-24T00:57:00+00:00,751.6,750
2026-08-24T00:58:00+00:00,752.09,750
2026-08-24T00:59:00+00:00,749.82,750
2026-08-24T01:00:00+00:00,748.81,650
2026-08-24T01:01:00+00:00,743.95,650
2026-08-24T01:02:00+00:00,739.32,650
2026-08-24T01:03:00+00:00,734.8,650
2026-08-24T01:04:00+00:00,730.26,650
2026-08-24T01:05:00+00:00,725.56,650
2026-08-24T01:06:00+00:00,720.6,650
2026-08-24T01:07:00+00:00,715.35,650
2026-08-24T01:08:00+00:00,709.83,650
2026-08-24T01:09:00+00:00,704.17,650
2026-08-24T01:10:00+00:00,698.49,650
2026-08-24T01:11:00+00:00,692.93,650
2026-08-24T01:12:00+00:00,687.61,650
2026-08-24T01:13:00+00:00,682.58,650
2026-08-24T01:14:00+00:00,677.83,650
2026-08-24T01:15:00+00:00,673.26,650
2026-08-24T01:16:00+00:00,668.76,650
2026-08-24T01:17:00+00:00,664.16,650
2026-08-24T01:18:00+00:00,659.36,650
2026-08-24T01:19:00+00:00,654.27,650
2026-08-24T01:20:00+00:00,648.89,650
2026-08-24T01:21:00+00:00,643.3,650
2026-08-24T01:22:00+00:00,637.61,650
2026-08-24T01:23:00+00:00,631.96,650
2026-08-24T01:24:00+00:00,626.5,650
2026-08-24T01:25:00+00:00,621.3,650
2026-08-24T01:26:00+00:00,616.4,650
2026-08-24T01:27:00+00:00,611.74,650
2026-08-24T01:28:00+00:00,607.22,650
2026-08-24T01:29:00+00:00,602.69,650
